timestamp_ms,elapsed_s,chain_url,block_number,epoch_id,phase,submissions_count,delta_from_initial,hit_cap
1781934030774,0.016,ws://10.2.2.11:9945,17,0,Collecting,0,0,0
1781934030985,0.227,ws://10.2.2.11:9945,17,0,Collecting,0,0,0
1781934031196,0.438,ws://10.2.2.11:9945,17,0,Collecting,0,0,0
1781934031408,0.650,ws://10.2.2.11:9945,17,0,Collecting,0,0,0
1781934031617,0.859,ws://10.2.2.11:9945,17,0,Collecting,0,0,0
1781934031829,1.071,ws://10.2.2.11:9945,17,0,Collecting,0,0,0
1781934032039,1.281,ws://10.2.2.11:9945,18,0,Collecting,0,0,0
1781934032252,1.494,ws://10.2.2.11:9945,18,0,Collecting,0,0,0
1781934032465,1.707,ws://10.2.2.11:9945,18,0,Collecting,0,0,0
1781934032676,1.918,ws://10.2.2.11:9945,18,0,Collecting,0,0,0
1781934032890,2.132,ws://10.2.2.11:9945,18,0,Collecting,0,0,0
1781934033102,2.344,ws://10.2.2.11:9945,18,0,Collecting,0,0,0
1781934033314,2.556,ws://10.2.2.11:9945,18,0,Collecting,0,0,0
1781934033526,2.768,ws://10.2.2.11:9945,18,0,Collecting,0,0,0
1781934033737,2.979,ws://10.2.2.11:9945,18,0,Collecting,0,0,0
1781934033949,3.191,ws://10.2.2.11:9945,18,0,Collecting,0,0,0
1781934034161,3.403,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934034374,3.616,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934034586,3.828,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934034791,4.033,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934035005,4.247,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934035217,4.459,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934035429,4.671,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934035642,4.884,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934035853,5.095,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934036065,5.307,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934036275,5.517,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934036487,5.729,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934036698,5.940,ws://10.2.2.11:9945,19,0,Collecting,0,0,0
1781934036910,6.152,ws://10.2.2.11:9945,20,0,Collecting,1280,1280,1
