timestamp_ms,elapsed_s,chain_url,block_number,epoch_id,phase,submissions_count,delta_from_initial,hit_cap
1781840970076,0.002,ws://10.2.2.11:9945,14,0,Collecting,0,0,0
1781840970076,0.002,ws://10.2.2.14:9946,12,0,Collecting,0,0,0
1781840970299,0.225,ws://10.2.2.11:9945,14,0,Collecting,0,0,0
1781840970299,0.225,ws://10.2.2.14:9946,12,0,Collecting,0,0,0
1781840970517,0.443,ws://10.2.2.11:9945,14,0,Collecting,0,0,0
1781840970517,0.443,ws://10.2.2.14:9946,12,0,Collecting,0,0,0
1781840970739,0.665,ws://10.2.2.11:9945,14,0,Collecting,0,0,0
1781840970739,0.665,ws://10.2.2.14:9946,12,0,Collecting,0,0,0
1781840970961,0.887,ws://10.2.2.11:9945,14,0,Collecting,0,0,0
1781840970961,0.887,ws://10.2.2.14:9946,12,0,Collecting,0,0,0
1781840971181,1.107,ws://10.2.2.11:9945,14,0,Collecting,0,0,0
1781840971181,1.107,ws://10.2.2.14:9946,12,0,Collecting,0,0,0
1781840971400,1.326,ws://10.2.2.11:9945,14,0,Collecting,0,0,0
1781840971400,1.326,ws://10.2.2.14:9946,12,0,Collecting,0,0,0
1781840971619,1.545,ws://10.2.2.11:9945,14,0,Collecting,0,0,0
1781840971619,1.545,ws://10.2.2.14:9946,12,0,Collecting,0,0,0
1781840971838,1.764,ws://10.2.2.11:9945,14,0,Collecting,0,0,0
1781840971838,1.764,ws://10.2.2.14:9946,12,0,Collecting,0,0,0
1781840972060,1.986,ws://10.2.2.11:9945,15,0,Collecting,0,0,0
1781840972060,1.986,ws://10.2.2.14:9946,13,0,Collecting,0,0,0
1781840972280,2.206,ws://10.2.2.11:9945,15,0,Collecting,0,0,0
1781840972280,2.206,ws://10.2.2.14:9946,13,0,Collecting,0,0,0
1781840972499,2.425,ws://10.2.2.11:9945,15,0,Collecting,0,0,0
1781840972499,2.425,ws://10.2.2.14:9946,13,0,Collecting,0,0,0
1781840972718,2.644,ws://10.2.2.11:9945,15,0,Collecting,0,0,0
1781840972718,2.644,ws://10.2.2.14:9946,13,0,Collecting,0,0,0
1781840972934,2.860,ws://10.2.2.11:9945,15,0,Collecting,0,0,0
1781840972934,2.860,ws://10.2.2.14:9946,13,0,Collecting,0,0,0
1781840973151,3.077,ws://10.2.2.11:9945,15,0,Collecting,0,0,0
1781840973151,3.077,ws://10.2.2.14:9946,13,0,Collecting,0,0,0
1781840973371,3.297,ws://10.2.2.11:9945,15,0,Collecting,0,0,0
1781840973371,3.297,ws://10.2.2.14:9946,13,0,Collecting,0,0,0
1781840973588,3.514,ws://10.2.2.11:9945,15,0,Collecting,0,0,0
1781840973588,3.514,ws://10.2.2.14:9946,13,0,Collecting,0,0,0
1781840973806,3.732,ws://10.2.2.11:9945,15,0,Collecting,0,0,0
1781840973806,3.732,ws://10.2.2.14:9946,13,0,Collecting,0,0,0
1781840974025,3.951,ws://10.2.2.11:9945,15,0,Collecting,0,0,0
1781840974025,3.951,ws://10.2.2.14:9946,13,0,Collecting,0,0,0
1781840974240,4.166,ws://10.2.2.11:9945,16,0,Collecting,121,121,0
1781840974240,4.166,ws://10.2.2.14:9946,14,0,Collecting,162,162,0
1781840974463,4.389,ws://10.2.2.11:9945,16,0,Collecting,121,121,0
1781840974463,4.389,ws://10.2.2.14:9946,14,0,Collecting,162,162,0
1781840974687,4.613,ws://10.2.2.11:9945,16,0,Collecting,121,121,0
1781840974687,4.613,ws://10.2.2.14:9946,14,0,Collecting,162,162,0
1781840974908,4.834,ws://10.2.2.11:9945,16,0,Collecting,121,121,0
1781840974908,4.834,ws://10.2.2.14:9946,14,0,Collecting,162,162,0
1781840975134,5.060,ws://10.2.2.11:9945,16,0,Collecting,121,121,0
1781840975134,5.060,ws://10.2.2.14:9946,14,0,Collecting,162,162,0
1781840975356,5.282,ws://10.2.2.11:9945,16,0,Collecting,121,121,0
1781840975356,5.282,ws://10.2.2.14:9946,14,0,Collecting,162,162,0
1781840975582,5.508,ws://10.2.2.11:9945,16,0,Collecting,121,121,0
1781840975582,5.508,ws://10.2.2.14:9946,14,0,Collecting,162,162,0
1781840975805,5.731,ws://10.2.2.11:9945,16,0,Collecting,121,121,0
1781840975805,5.731,ws://10.2.2.14:9946,14,0,Collecting,162,162,0
1781840976028,5.954,ws://10.2.2.11:9945,16,0,Collecting,121,121,0
1781840976028,5.954,ws://10.2.2.14:9946,14,0,Collecting,162,162,0
1781840976251,6.177,ws://10.2.2.11:9945,16,0,Collecting,121,121,0
1781840976251,6.177,ws://10.2.2.14:9946,14,0,Collecting,162,162,0
1781840976472,6.398,ws://10.2.2.11:9945,16,0,Collecting,121,121,0
1781840976472,6.398,ws://10.2.2.14:9946,14,0,Collecting,162,162,0
1781840976694,6.620,ws://10.2.2.11:9945,17,0,Collecting,995,995,0
1781840976694,6.620,ws://10.2.2.14:9946,14,0,Collecting,162,162,0
1781840976930,6.856,ws://10.2.2.11:9945,17,0,Collecting,995,995,0
1781840976930,6.856,ws://10.2.2.14:9946,15,0,Collecting,1472,1472,0
1781840977205,7.131,ws://10.2.2.11:9945,17,0,Collecting,995,995,0
1781840977205,7.131,ws://10.2.2.14:9946,15,0,Collecting,1472,1472,0
1781840977470,7.396,ws://10.2.2.11:9945,17,0,Collecting,995,995,0
1781840977470,7.396,ws://10.2.2.14:9946,15,0,Collecting,1472,1472,0
1781840977747,7.673,ws://10.2.2.11:9945,17,0,Collecting,995,995,0
1781840977747,7.673,ws://10.2.2.14:9946,15,0,Collecting,1472,1472,0
1781840978010,7.936,ws://10.2.2.11:9945,17,0,Collecting,995,995,0
1781840978010,7.936,ws://10.2.2.14:9946,15,0,Collecting,1472,1472,0
1781840978264,8.190,ws://10.2.2.11:9945,17,0,Collecting,995,995,0
1781840978264,8.190,ws://10.2.2.14:9946,15,0,Collecting,1472,1472,0
1781840978520,8.446,ws://10.2.2.11:9945,17,0,Collecting,995,995,0
1781840978520,8.446,ws://10.2.2.14:9946,15,0,Collecting,1472,1472,0
1781840978775,8.701,ws://10.2.2.11:9945,17,0,Collecting,995,995,0
1781840978775,8.701,ws://10.2.2.14:9946,15,0,Collecting,1472,1472,0
1781840979023,8.949,ws://10.2.2.11:9945,17,0,Collecting,995,995,0
1781840979023,8.949,ws://10.2.2.14:9946,15,0,Collecting,1472,1472,0
1781840979282,9.208,ws://10.2.2.11:9945,17,0,Collecting,995,995,0
1781840979282,9.208,ws://10.2.2.14:9946,15,0,Collecting,1472,1472,0
