timestamp,block_number,epoch_id,free_unit,pool_locked_unit,total_pool_unit,pool_locked_ratio,active_tasks,sum_active_budget_unit,task_locked_unit,task_locked_ratio,baseline_locked_unit,improvement,bill_settled_this_tick,total_paid_unit,available_tasks_count
2026-06-09T09:20:06.667Z,89675,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:20:36.687Z,89680,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:21:06.681Z,89685,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:21:36.679Z,89690,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:22:06.686Z,89695,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:22:36.679Z,89700,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:23:06.682Z,89705,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:23:36.682Z,89710,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:24:06.682Z,89715,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:24:36.681Z,89720,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:25:06.682Z,89725,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:25:36.684Z,89730,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:26:06.684Z,89735,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:26:36.680Z,89740,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:27:06.681Z,89745,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:27:36.682Z,89750,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:28:06.680Z,89755,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:28:36.681Z,89760,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:29:06.683Z,89765,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:29:36.684Z,89770,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:30:06.688Z,89775,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:30:36.687Z,89780,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:31:06.689Z,89785,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:31:36.689Z,89790,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:32:06.687Z,89795,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:32:36.693Z,89800,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:33:06.690Z,89805,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:33:36.689Z,89810,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:34:06.690Z,89815,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:34:36.692Z,89820,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:35:06.690Z,89825,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:35:36.692Z,89830,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:36:06.692Z,89835,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:36:36.735Z,89840,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:37:06.692Z,89845,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:37:36.694Z,89850,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:38:06.698Z,89855,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:38:36.696Z,89860,0,418500,81500,500000,0.1630,3,31500,31500,0.0630,630000,20.00,0,0,279
2026-06-09T09:39:06.695Z,89865,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,1,25000,262
2026-06-09T09:39:36.693Z,89870,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:40:06.699Z,89875,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:40:36.697Z,89880,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:41:06.696Z,89885,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:41:36.697Z,89890,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:42:06.699Z,89895,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:42:36.702Z,89900,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:43:06.700Z,89905,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:43:36.699Z,89910,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:44:06.703Z,89915,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:44:36.702Z,89920,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:45:06.709Z,89925,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:45:36.709Z,89930,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:46:06.703Z,89935,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:46:36.704Z,89940,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:47:06.706Z,89945,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:47:36.707Z,89950,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:48:06.709Z,89955,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:48:36.705Z,89960,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:49:06.709Z,89965,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:49:36.707Z,89970,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:50:06.714Z,89975,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:50:36.713Z,89980,1,393500,81500,475000,0.1716,3,31500,31500,0.0663,598500,19.00,0,0,262
2026-06-09T09:51:06.712Z,89985,2,368500,81500,450000,0.1811,3,31500,31500,0.0700,567000,18.00,1,25000,245
2026-06-09T09:51:36.712Z,89990,2,368500,81500,450000,0.1811,3,31500,31500,0.0700,567000,18.00,0,0,245
2026-06-09T09:52:06.712Z,89995,2,368500,81500,450000,0.1811,3,31500,31500,0.0700,567000,18.00,0,0,245
2026-06-09T09:52:36.713Z,90000,2,368500,81500,450000,0.1811,3,31500,31500,0.0700,567000,18.00,0,0,245
2026-06-09T09:53:06.717Z,90005,2,368500,81500,450000,0.1811,3,31500,31500,0.0700,567000,18.00,0,0,245
2026-06-09T09:53:36.717Z,90010,2,368500,81500,450000,0.1811,3,31500,31500,0.0700,567000,18.00,0,0,245
2026-06-09T09:54:06.716Z,90015,2,368500,81500,450000,0.1811,3,31500,31500,0.0700,567000,18.00,0,0,245
2026-06-09T09:54:36.720Z,90020,2,368500,81500,450000,0.1811,3,31500,31500,0.0700,567000,18.00,0,0,245
2026-06-09T09:55:06.715Z,90025,2,367000,81500,448500,0.1817,3,31500,31500,0.0702,567000,18.00,1,1500,244
2026-06-09T09:55:36.719Z,90030,2,367000,81500,448500,0.1817,3,31500,31500,0.0702,567000,18.00,0,0,244
2026-06-09T09:56:06.721Z,90035,2,367000,81500,448500,0.1817,3,31500,31500,0.0702,567000,18.00,0,0,244
2026-06-09T09:56:36.722Z,90040,2,367000,81500,448500,0.1817,3,31500,31500,0.0702,567000,18.00,0,0,244
2026-06-09T09:57:06.724Z,90045,2,367000,81500,448500,0.1817,3,31500,31500,0.0702,567000,18.00,0,0,244
